time_ms, x_mm, y_mm, heading_deg
80088, 714.6402612483024, 194.7140769747809, -29
80204, 725.2356323626096, 189.0804182213502, -28
80317, 734.9480558840577, 183.9162310307055, -28
81658, 742.7195154986274, 177.6230271202071, -39
81773, 745.8715585130543, 175.1603812189044, -38
81887, 755.3276875563349, 167.7724435149965, -38
81998, 763.9958058460088, 161.0001672864143, -38
82111, 772.6639241356827, 154.2278910578321, -38
82222, 781.3320424253566, 147.4556148292498, -38
82332, 790.7881714686372, 140.0676771253419, -38
82445, 799.4562897583112, 133.2954008967597, -38
82557, 808.124408047985, 126.5231246681775, -38
82672, 816.792526337659, 119.7508484395952, -38
82783, 825.4606446273328, 112.978572211013, -38
82896, 834.9167736706134, 105.5906345071051, -38
83009, 843.5848919602874, 98.81835827852285, -38
83120, 852.2530102499614, 92.04608204994059, -38
83233, 860.9211285396352, 85.27380582135835, -38
83346, 870.3772575829159, 77.88586811745046, -38
83457, 879.0453758725899, 71.11359188886822, -38
83569, 887.7134941622637, 64.34131566028597, -38
83680, 896.3816124519376, 57.56903943170373, -38
83798, 905.8377414952183, 50.18110172779583, -38
83909, 914.5058597848923, 43.40882549921359, -38
84023, 923.9619888281728, 36.02088779530568, -38
84134, 932.6301071178468, 29.24861156672344, -38
86170, 942.1406722807983, 26.15844162297397, -18
86286, 944.9772280075964, 25.1817371596025, -19
86398, 957.3409627194334, 21.16451623272818, -18
87009, 968.2339114755905, 19.63361212216746, -8
87125, 972.1949837505568, 19.0769197183272, -8
87237, 984.0782005754555, 17.40684250680642, -8
87848, 996.0708904996848, 17.82563646723643, 2
87966, 1000.068453807761, 17.96523445404643, 2
88078, 1013.060534559009, 18.41892791117894, 2
88661, 1023.820158167081, 20.7059565101743, 12
88777, 1027.732748570017, 21.53760327344533, 12
88888, 1039.470519778822, 24.03254356325845, 12
89103, 1057.077176592031, 27.77495399797812, 12
89217, 1064.902357397901, 29.43824752452019, 12
89329, 1076.640128606707, 31.9331878143333, 12
89440, 1087.399752214779, 34.22021641332866, 12
90083, 1093.890039196746, 36.84246256724004, 22
90198, 1097.598774615014, 38.34088894090369, 22
90313, 1109.652164724382, 43.21077465531054, 22
90427, 1120.778370979183, 47.70605377630149, 22
90539, 1130.050209524851, 51.45211971046061, 22
90650, 1141.176415779652, 55.94739883145156, 22
90762, 1151.375438179887, 60.06807135902658, 22
90876, 1162.501644434689, 64.56335048001754, 22
90989, 1172.771029126158, 68.50539792501585, 21
91101, 1182.970051526393, 72.62607045259088, 22
91214, 1193.169073926627, 76.74674298016592, 22
91436, 1207.076831745129, 82.3658418814046, 22
91549, 1212.63993487253, 84.61348144190008, 22
91660, 1223.766141127332, 89.10876056289103, 22
91771, 1233.965163527566, 93.22943309046606, 22
91882, 1244.164185927801, 97.3501056180411, 22
91996, 1255.290392182602, 101.845384739032, 22
92110, 1265.489414582837, 105.9660572666071, 22
92222, 1275.688436983072, 110.0867297941821, 22
92332, 1285.887459383307, 114.2074023217572, 22
92442, 1296.086481783542, 118.3280748493322, 22
92555, 1307.212688038343, 122.8233539703231, 22
92667, 1317.411710438578, 126.9440264978982, 22
92780, 1327.610732838812, 131.0646990254732, 22
92891, 1337.809755239047, 135.1853715530482, 22
93001, 1348.008777639282, 139.3060440806233, 22
93111, 1358.207800039517, 143.4267166081983, 22
93222, 1368.406822439751, 147.5473891357734, 22
93333, 1378.605844839986, 151.6680616633484, 22
93446, 1389.732051094787, 156.1633407843393, 22
93558, 1399.931073495022, 160.2840133119144, 22
94850, 1408.765718146052, 162.0012942703033, 11
94962, 1412.678308548987, 162.8329410335743, 12
95076, 1425.394227358526, 165.5357930142052, 12
95187, 1436.153850966598, 167.8228216132005, 12
